
 ⛅️ wrangler 4.100.0
────────────────────
Successfully created tail, expires at 2026-06-12T13:50:11Z
Connected to videx-api, waiting for logs...
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/203/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1422/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1911/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1395/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/985939/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1317149/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/67136/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1411/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/269/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/764/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/857/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/40/watch/providers - Ok @ 12/06/2026, 11:13:41
OPTIONS https://videx-api.kingbalouu.workers.dev/v1/foryou?services=apple%2Cbbc%2Cchannel4%2Citvx%2Cnetflix%2Cprime%2Cskygo&hour=11&dow=5 - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/foryou?services=apple%2Cbbc%2Cchannel4%2Citvx%2Cnetflix%2Cprime%2Cskygo&hour=11&dow=5 - Canceled @ 12/06/2026, 11:13:42
